id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
133,F,1.3125,1.0625,0.375,24.84833675,10.1207715,5.57067675,7.0590255,12.0
134,M,1.5625,1.25,0.4375,37.6197865,16.4143605,8.00873375,9.59630575,13.0
135,F,1.425,1.125,0.3875,28.236102,10.3475675,5.57067675,10.20582,18.0
136,I,1.175,0.925,0.3125,15.74814725,7.0590255,3.175144,4.6776675,8.0
137,I,1.1875,0.9125,0.2875,13.05494475,5.0745605,2.70737725,4.1106775,8.0
138,F,1.4,1.0625,0.3125,22.5378525,10.2341695,4.89028875,7.2291225,9.0
139,F,1.425,1.125,0.4375,30.03629525,10.149121,6.42116175,9.07184,12.0
140,F,1.5125,1.225,0.425,32.4601775,12.82814875,6.67630725,9.4970825,10.0
141,F,1.4375,1.075,0.35,24.6357155,9.355335,6.0951425,6.9456275,9.0
142,I,0.8875,0.65,0.2125,5.59902625,2.438057,1.23320325,1.71514475,7.0
143,I,1.3625,1.0625,0.4125,23.94115275,10.24834425,5.71242425,7.83863675,9.0
144,I,1.25,0.975,0.3125,15.7339725,6.67630725,3.061746,4.53592,6.0
145,F,1.1,0.85,0.3375,12.984071,5.28718175,2.3530085,3.96893,10.0
146,I,1.1375,0.8875,0.35,17.61921425,7.2291225,4.09650275,5.10291,8.0
147,I,1.2875,0.9625,0.3125,17.78931125,8.788345,3.67126025,5.2446575,8.0
148,I,1.1625,0.9375,0.3125,13.36678925,6.81805475,2.8066005,4.53592,9.0
149,I,0.4,0.3125,0.0875,0.49611625,0.18427175,0.18427175,0.1417475,4.0
150,M,1.275,0.9875,0.3375,17.860185,6.42116175,2.9199985,6.23689,15.0
151,F,1.6375,1.3,0.45,38.8104655,17.78931125,7.9662095,10.9145575,11.0
152,M,1.2875,1.0375,0.375,18.92329125,7.7394135,4.1106775,5.953395,9.0
153,I,1.2375,0.95,0.2875,16.76872925,8.164656,3.3735905,4.35164825,6.0
154,I,1.3,0.9875,0.3125,17.0097,8.164656,3.81300775,5.5281525,9.0
155,I,1.175,0.9625,0.35,17.2081465,7.41339425,3.6003865,5.216308,9.0
156,M,1.5125,1.2125,0.375,29.5118295,12.3887315,6.90310325,8.788345,10.0
157,I,1.4375,1.1125,0.4,24.87668625,10.44679075,4.91863825,7.37087,13.0
158,I,1.3125,0.8875,0.3125,13.53688625,6.33611325,2.9766975,3.81300775,7.0
159,F,1.5625,1.2375,0.4625,38.68289275,15.989118,7.86698625,15.025235,20.0
160,F,1.3875,1.0875,0.3375,22.80717275,9.42620875,5.59902625,7.1724235,10.0
161,F,1.4125,1.125,0.3875,26.32251075,11.60912025,5.17378375,7.89533575,10.0
162,F,1.6625,1.3375,0.475,45.91201525,17.860185,7.427569,16.5844575,12.0
163,M,1.15,0.9,0.275,14.458245,6.7188315,2.36718325,4.252425,9.0
164,M,1.7375,1.3125,0.4375,45.7844425,20.0997955,10.77281,13.324265,12.0
165,M,1.5625,1.25,0.425,34.6147395,15.1102835,7.200773,8.788345,12.0
166,F,1.8125,1.375,0.5125,55.961913,23.71435675,14.5999925,14.72756525,11.0
167,I,1.2,0.95,0.3,15.77649675,7.994559,3.27436725,4.6776675,8.0
168,M,1.525,1.2375,0.4,33.40988575,16.839603,6.4353365,8.9300925,10.0
169,F,1.5625,1.225,0.3875,28.066005,13.31009025,6.690482,8.3631025,11.0
170,I,1.1,0.8125,0.275,9.4970825,4.1673765,2.551455,3.118445,11.0
171,M,1.45,1.1125,0.4,28.50542225,10.73028575,6.30776375,8.50485,14.0
172,M,1.275,0.9625,0.3125,16.40018575,7.7394135,3.2601925,4.819415,9.0
173,I,0.4,0.275,0.0875,0.510291,0.21262125,0.12757275,0.1417475,4.0
174,M,1.5875,1.275,0.4375,38.11590275,16.68368075,7.881161,10.33339275,10.0
175,F,1.4125,1.125,0.3625,23.530085,11.113004,5.25883225,6.747181,10.0
176,M,1.375,1.0875,0.375,24.38057,10.6877615,5.0178615,6.6621325,9.0
177,I,0.5,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,6.0
178,I,1.25,0.95,0.325,14.004653,5.51397775,2.721552,4.3941725,8.0
179,M,1.675,1.3,0.5,51.24172125,23.91280325,11.46737275,11.3681495,11.0
180,M,1.625,1.2625,0.4625,38.215126,16.59863225,7.35669525,11.056305,12.0
181,I,0.6875,0.5125,0.1625,3.07592075,1.0489315,0.7654365,0.850485,7.0
182,I,1.05,0.8125,0.2625,10.659412,4.74854125,2.2963095,2.9766975,9.0
183,I,1.0625,0.8,0.2,8.5898985,4.57844425,1.814368,2.4664065,7.0
184,I,1.2125,0.8875,0.3125,14.81261375,6.13766675,3.231843,4.3941725,9.0
185,I,0.9625,0.725,0.225,7.6827145,3.458639,1.70097,2.26796,8.0
186,M,0.8125,0.6,0.1875,4.20990075,1.65844575,0.94970825,1.2757275,11.0
187,M,0.875,0.6375,0.2375,6.13766675,2.83495,1.0489315,1.7860185,9.0
188,M,1.7,1.275,0.4875,45.91201525,20.97863,10.0073735,13.60776,10.0
189,M,1.6875,1.3,0.475,50.802304,16.4143605,10.4042665,14.74174,13.0
190,I,0.6,0.45,0.2,1.6726205,0.89300925,0.38271825,0.56699,5.0
191,M,1.8375,1.45,0.5375,72.234526,24.664065,13.551061,17.57669,12.0
192,I,0.95,0.7,0.225,5.8116475,2.778251,1.1623295,1.7293195,7.0
193,I,0.6,0.5125,0.175,2.1262125,0.8788345,0.453592,0.3685435,4.0
194,I,1.175,0.9,0.3,13.33843975,5.3013565,2.8066005,3.2601925,8.0
195,I,1.325,1.0625,0.3625,21.72989175,8.43397625,4.63514325,5.953395,10.0
196,M,1.45,1.15,0.375,27.03124825,13.5794105,6.25106475,7.1724235,9.0
197,F,1.7,1.425,0.475,43.02036625,18.257078,11.5949455,12.8423235,11.0
198,M,1.5375,1.1875,0.35,34.5013415,15.32290475,9.8372765,8.9300925,11.0
199,F,1.55,1.2125,0.4125,32.44600275,15.8473705,7.257472,8.7599955,10.0
200,M,1.5125,1.25,0.5,32.6302745,15.422128,8.5898985,9.355335,9.0
201,M,1.425,1.125,0.375,23.4450365,11.38232425,4.86193925,6.80388,9.0
202,I,1.0375,0.8125,0.25,8.49067525,3.92640575,1.7293195,2.4097075,7.0
203,M,1.55,1.2625,0.4125,32.6869735,15.35125425,8.12213175,8.3631025,9.0
204,M,1.425,1.1375,0.375,25.741346,10.47514025,5.45727875,7.7961125,12.0
205,M,1.4,1.1125,0.4375,24.16794875,9.922325,4.57844425,8.9300925,13.0
206,F,1.4875,1.1625,0.3625,29.32755775,12.62970225,5.6699,9.355335,10.0
207,I,1.2625,0.975,0.2875,15.762322,8.561549,3.38776525,4.35164825,8.0
208,F,1.5125,1.175,0.4,30.83008125,13.9196045,6.81805475,7.93786,9.0
209,F,1.4,1.125,0.3125,23.85610425,11.75086775,5.046211,6.16601625,9.0
210,I,1.2125,0.9375,0.3,16.68368075,7.52679225,3.18931875,4.6776675,10.0
211,I,0.725,0.525,0.1875,3.67126025,1.54504775,0.850485,0.9922325,6.0
212,M,1.325,1.0875,0.325,21.55979475,9.015141,5.2446575,5.37223025,9.0
213,I,1.0625,0.85,0.325,11.509897,4.74854125,2.67902775,3.8271825,9.0
214,I,1.45,1.1,0.3,19.09338825,8.788345,3.7137845,6.6621325,8.0
215,M,1.325,1.025,0.4125,20.3265915,7.7961125,4.7910655,7.7961125,13.0
216,M,1.7625,1.4125,0.575,58.75433875,16.612807,12.8423235,16.159215,19.0
217,I,0.5125,0.375,0.1625,0.850485,0.3685435,0.226796,0.26932025,7.0
218,F,1.75,1.4375,0.5125,47.18774275,20.53921275,10.16329575,13.60776,11.0
219,M,1.5125,1.1875,0.4125,31.70891575,15.4504775,7.32834575,8.164656,10.0
220,M,1.575,1.2125,0.4125,35.50774875,18.8524175,7.9095105,8.50485,9.0
221,F,1.8,1.4125,0.4375,46.67745175,21.78659075,9.128539,13.1825175,10.0
222,I,0.9375,0.7125,0.2125,6.30776375,2.381358,1.6726205,2.1262125,6.0
223,F,1.6625,1.3375,0.4625,48.94541175,16.726205,10.19164525,13.4660125,11.0
224,F,1.5,1.2,0.3875,34.302895,11.453198,7.35669525,12.20445975,14.0
225,M,1.2125,0.925,0.3,14.81261375,5.59902625,2.948348,4.40834725,8.0
226,M,1.6,1.25,0.4125,36.457457,16.82542825,8.3064035,9.2135875,9.0
227,F,1.625,1.3125,0.475,41.65842775,17.0097,8.46232575,12.757275,11.0
228,M,1.5,1.1625,0.375,29.6819265,12.9557215,7.087375,7.93786,10.0
229,M,1.775,1.425,0.4875,53.070264,27.21552,11.5382465,13.60776,11.0
230,F,1.6125,1.2,0.45,35.62114675,16.54193325,9.525432,8.221355,9.0
231,M,1.4625,1.125,0.4125,31.014353,11.453198,7.314171,9.7805775,13.0
232,F,1.525,1.225,0.4,32.98464325,16.3009625,8.8166945,8.9300925,9.0
233,M,1.5625,1.275,0.375,30.40483875,13.948348,6.42116175,8.50485,11.0
234,M,1.7,1.3375,0.5375,49.54075125,19.46193175,11.396499,13.1825175,13.0
235,M,1.425,1.125,0.325,24.2955215,9.865626,5.71242425,7.5126175,10.0
236,I,1.2125,0.95,0.3125,16.9246515,6.6054335,3.72795925,5.2446575,10.0
237,M,1.5875,1.275,0.4125,37.42134,15.3937785,7.98038425,11.7650425,13.0
238,I,0.475,0.325,0.1,0.75126175,0.2551455,0.1417475,0.2551455,4.0
239,F,1.4875,1.1875,0.3625,23.81358,11.396499,4.97533725,6.23689,10.0
240,F,0.5875,0.4375,0.1625,1.80019325,0.8788345,0.38271825,0.56699,4.0
241,I,0.5875,0.4,0.175,1.82854275,0.94970825,0.35436875,0.4252425,5.0
242,F,1.625,1.2875,0.425,39.8877465,14.35902175,8.448151,11.90679,14.0
243,F,1.6875,1.3375,0.5375,52.673371,21.2337755,9.00096625,18.8524175,11.0
244,M,1.6625,1.3375,0.4625,46.67745175,21.37183625,9.241937,11.7650425,14.0
245,M,0.7375,0.5625,0.1875,3.72795925,1.644271,0.80796075,1.417475,7.0
246,M,1.625,1.25,0.475,36.230661,16.726205,8.71747125,10.61688775,11.0
247,I,0.8625,0.6875,0.2,5.85417175,2.26796,1.09145575,1.814368,7.0
248,F,1.375,1.0375,0.3375,23.870279,9.128539,5.0178615,6.9456275,10.0
249,M,1.3125,1.0,0.3625,16.9246515,6.36446275,3.52951275,6.3786375,8.0
250,M,1.275,0.9375,0.3875,18.14368,7.93786,4.025629,4.819415,8.0
251,I,1.25,0.975,0.325,18.01610725,8.32057825,3.89805625,5.06038575,8.0
252,M,1.575,1.2375,0.575,43.6298805,18.15785475,9.1568885,11.056305,13.0
253,I,0.625,0.475,0.0,2.6932025,1.26155275,0.63786375,0.907184,4.0
254,I,1.075,0.85,0.25,10.41844125,4.8477645,2.5231055,3.40194,6.0
255,F,1.5625,1.225,0.4,29.44095575,12.643877,8.29222875,8.6465975,11.0
256,F,1.125,0.8375,0.35,12.6722265,5.37223025,3.30271675,3.175144,9.0
257,I,1.4125,1.1,0.35,24.67823975,11.5382465,4.89028875,5.953395,8.0
258,M,1.725,1.3625,0.475,44.04094825,20.2131935,9.2702865,12.757275,12.0
259,M,1.3125,0.9625,0.3125,16.57028275,7.087375,3.96893,4.9611625,8.0
260,M,1.525,1.2125,0.425,40.78075575,11.97766375,7.27164675,13.60776,20.0
261,F,1.1375,0.875,0.275,13.3526145,4.9611625,2.96252275,4.9611625,8.0
262,M,1.525,1.1875,0.375,32.10580875,13.05494475,6.01378075,7.7961125,14.0
263,F,1.3375,1.075,0.3375,23.700182,9.76640275,5.62737575,7.087375,16.0
264,I,1.3,0.975,0.3375,16.45688475,7.04485075,3.75630875,4.9611625,10.0
265,F,1.5625,1.175,0.4375,28.7180435,13.13999325,6.36446275,8.0796075,10.0
266,I,1.4375,1.125,0.4,24.720764,10.24834425,4.422522,7.37087,11.0
267,I,1.0875,0.7875,0.2625,10.6877615,4.49339575,2.041164,2.9766975,7.0
268,I,0.6875,0.4875,0.175,2.8066005,0.97805775,0.66621325,0.7087375,5.0
269,F,1.4375,1.125,0.4875,30.34813975,10.95708175,6.180191,10.20582,20.0
270,M,1.4125,1.15,0.375,28.2077525,15.2803805,6.0951425,7.93786,9.0
271,I,1.2875,1.0375,0.35,20.79435825,8.7599955,3.98310475,5.386405,10.0
272,I,1.025,0.8125,0.2625,9.2135875,3.52951275,1.63009625,2.83495,9.0
273,M,1.4875,1.2125,0.4125,29.0582375,11.75086775,6.36446275,9.4970825,10.0
274,F,1.3125,1.025,0.325,19.17843675,9.02931575,3.6570855,4.9611625,9.0
275,M,1.7125,1.2875,0.5375,45.812792,20.00057225,11.89261525,13.324265,10.0
276,F,1.3125,1.0375,0.3375,23.11901725,8.3064035,4.479221,6.6621325,11.0
277,M,1.5125,1.2,0.4125,30.14969325,12.40290625,7.484268,8.0796075,9.0
278,M,1.1375,0.875,0.35,13.05494475,6.2652395,2.36718325,4.252425,14.0
279,F,1.6125,1.3125,0.5125,43.7432785,17.33571925,8.051258,12.190285,13.0
280,I,1.4375,1.1125,0.375,26.7335785,12.3320325,5.386405,7.767763,8.0
281,I,1.3125,1.0625,0.375,24.16794875,12.51630425,4.422522,5.17378375,9.0
282,F,1.625,1.3125,0.475,44.43784125,19.901349,11.07047975,10.0640725,12.0
283,M,1.55,1.2,0.4,32.488527,16.51358375,6.3219385,8.7599955,10.0
284,F,1.4375,1.15,0.4,26.26581175,12.79979925,4.63514325,7.7961125,9.0
285,F,1.2125,0.8875,0.4375,21.6873675,5.9817445,4.32329875,7.2291225,9.0
286,M,1.5625,1.25,0.3875,33.622507,17.39241825,7.29999625,8.51902475,10.0
287,I,1.35,1.05,0.3375,22.1976585,9.2702865,4.422522,6.0951425,12.0
288,I,1.1,0.8625,0.275,12.0485375,5.7549485,2.50893075,4.53592,8.0
289,I,1.0375,0.8125,0.25,11.4815475,4.706017,2.608154,3.01922175,8.0
290,I,0.6375,0.5375,0.1375,2.0128145,0.7654365,0.41106775,0.5953395,7.0
291,F,1.15,0.8625,0.275,12.26115875,5.40057975,2.33883375,3.5436875,12.0
292,M,1.5375,1.175,0.4125,32.95629375,14.7133905,6.44951125,10.489315,13.0
293,I,0.5875,0.425,0.1375,1.54504775,0.56699,0.340194,0.43941725,4.0
294,F,1.5,1.1375,0.4,32.31843,14.50076925,7.86698625,8.9300925,10.0
295,I,0.8375,0.6125,0.1625,4.2807745,2.0128145,0.7654365,1.2757275,6.0
296,M,1.4125,1.075,0.375,23.0481435,10.95708175,5.783298,6.6621325,14.0
297,F,1.4,1.1,0.4375,27.22969475,9.36950975,5.8116475,9.07184,16.0
298,F,1.575,1.225,0.425,38.34269875,15.705623,7.41339425,9.07184,13.0
299,I,0.6,0.4625,0.15,2.608154,1.077281,0.69456275,0.737087,5.0
300,M,1.2125,0.975,0.3125,16.40018575,7.087375,3.6570855,4.3941725,10.0
301,M,1.675,1.2875,0.45,41.48949325,18.9091165,8.5898985,11.90679,12.0
302,M,1.5125,1.2875,0.4875,40.1145425,14.04717725,8.4198015,11.623295,16.0
303,F,1.7,1.35,0.4375,51.95045875,19.94387325,10.886208,13.60776,14.0
304,F,1.5,1.1875,0.4125,32.205032,13.947954,7.597666,8.50485,9.0
305,I,0.925,0.6875,0.2125,6.577084,3.13261975,1.63009625,1.927766,6.0
306,M,1.525,1.2125,0.3875,32.601925,15.0535845,7.38504475,8.391452,10.0
307,F,1.5625,1.2125,0.4375,37.137845,14.7133905,7.41339425,11.90679,12.0
308,M,1.525,1.1875,0.4,29.9654215,12.88484775,6.81805475,7.654365,10.0
309,F,1.6625,1.3625,0.5125,49.34230475,24.79163775,10.16329575,16.8679525,9.0
310,F,1.1,0.8875,0.325,13.53688625,5.953395,2.8066005,4.3941725,11.0
311,F,1.6375,1.3,0.4,38.90968875,17.22232125,6.2652395,10.3475675,9.0
312,M,1.4,1.05,0.375,24.777463,9.298636,5.8683465,7.087375,10.0
